,name_last,name_first,key_mlbam
336,kershaw,clayton,477132
337,keuchel,dallas,572971
338,kikuchi,yusei,579328
339,kim,kwang hyun,547942
340,kimbrel,craig,518886
341,king,mike,650633
342,kinley,tyler,641755
343,kintzler,brandon,445213
344,kittredge,andrew,552640
345,klobosits,gabe,656620
346,kluber,corey,446372
347,knebel,corey,608349
348,knehr,reiss,663753
349,knight,dusten,643400
350,koerner,brody,621259
351,kopech,michael,656629
352,kowar,jackson,663804
353,kranick,max,668820
354,krehbiel,joey,607216
355,kremer,dean,665152
356,kriske,brooks,621139
357,krol,ian,571871
358,kuhl,chad,641771
359,lambert,jimmy,669424
360,lambert,peter,663567
361,lamet,dinelson,659275
362,lange,alex,656638
363,latz,jake,656641
364,lauer,eric,641778
365,lawrence,justin,664875
366,leblanc,wade,453281
367,lee,dylan,669276
368,leon,sandy,506702
369,leone,dominic,608678
370,lester,jon,452657
371,littell,zack,641793
372,llovera,mauricio,661440
373,loaisiga,jonathan,642528
374,long,sammy,669674
375,lopez,jorge,605347
376,lopez,reynaldo,625643
377,lorenzen,michael,547179
378,loup,aaron,571901
379,lovelady,richard,663992
380,lowther,zac,675912
381,luetge,lucas,476595
382,lugo,seth,607625
383,luplow,jordan,656669
384,luzardo,jesus,666200
385,lyles,jordan,543475
386,lynch,daniel,663738
387,lynn,lance,458681
388,machado,andres,600921
389,madero,luis,650347
390,maeda,kenta,628317
391,mahle,tyler,641816
392,maile,luke,571912
393,manaea,sean,640455
394,manning,matt,666159
395,manoah,alek,666201
396,mantiply,joe,573009
397,maples,dillon,596027
398,marquez,german,608566
399,marte,jose,665896
400,martin,brett,656685
401,martin,chris,455119
402,martinez,seth,661527
403,maton,phil,664208
404,mattson,isaac,676755
405,matz,steven,571927
406,matzek,tyler,554431
407,may,trevor,543507
408,mayers,mike,594577
409,mayza,tim,641835
410,mazza,chris,607391
411,mccaughan,darren,670766
412,mcclanahan,shane,663556
413,mccullers,lance,621121
414,mcfarland,t. j.,519008
415,mcgee,jake,459429
416,mcgowin,kyle,641851
417,mchugh,collin,543521
418,mckenzie,triston,663474
419,means,john,607644
420,mears,nick,683232
421,medina,adonis,658431
422,megill,trevor,656730
423,megill,tylor,656731
424,meisinger,ryan,664682
425,mejia,francisco,642336
426,mejia,humberto,650668
427,mejia,j. c.,650496
428,melancon,mark,453343
429,merryweather,julian,657240
430,middleton,keynan,641871
431,mikolas,miles,571945
432,miley,wade,489119
433,miller,andrew,453192
434,miller,justin,502522
435,miller,shelby,571946
436,mills,alec,621219
437,mills,wyatt,670090
438,milner,hoby,571948
439,minaya,juan,573668
440,minor,mike,501985
441,minter,a. j.,621345
442,misiewicz,anthony,664948
443,mitchell,bryan,571951
444,mize,casey,663554
445,moll,sam,594580
446,montas,frankie,593423
447,montero,rafael,606160
448,montgomery,jordan,656756
449,moore,matt,519043
450,moran,jovani,663558
451,moreland,mitch,519048
452,moreta,dauri,664294
453,morgan,adam,605388
454,morgan,eli,669212
455,morimando,shawn,596049
456,morton,charlie,450203
457,muller,kyle,666205
458,murphy,patrick,641907
459,musgrove,joe,605397
460,nance,tommy,667297
461,naughton,packy,676050
462,neidert,nick,663734
463,nelson,jimmy,519076
464,nelson,nick,656793
465,neris,hector,593576
466,newcomb,sean,656794
467,nogosek,stephen,668665
468,nogowski,john,596056
469,nola,aaron,605400
470,nolin,sean,543594
471,norris,daniel,596057
472,núñez,darien,628345
473,o'brien,riley,676617
474,ober,bailey,641927
475,odorizzi,jake,543606
476,ohtani,shohei,660271
477,okert,steven,595345
478,ort,kaleb,672391
479,ortega,oliver,661383
480,osich,josh,592612
481,ottavino,adam,493603
482,otto,glenn,657248
483,overton,connor,656818
484,oviedo,johan,670912
485,oviedo,luis,665854
486,paddack,chris,663978
487,pagan,emilio,641941
488,parker,blake,453284
489,patino,luis,672715
490,patton,spencer,607359
491,paulino,david,600944
492,payamps,joel,606303
493,peacock,brad,502748
494,peacock,matt,676840
495,pearson,nate,663878
496,peguero,elvis,665625
497,peralta,freddy,642547
498,peralta,wandy,593974
499,peralta,wily,503449
500,perdomo,angel,622780
501,pérez,cionel,672335
502,perez,francisco,660906
503,perez,martin,527048
504,peters,dillon,596071
505,peterson,jace,607054
506,petit,yusmeiro,433589
507,petricka,jake,502593
508,phillips,evan,623465
509,pillar,kevin,607680
510,pineda,michael,501381
511,pivetta,nick,601713
512,plawecki,kevin,608700
513,plesac,zach,668676
514,plutko,adam,592644
515,pomeranz,drew,519141
516,ponce,cody,664074
517,ponce de leon,daniel,594965
518,pop,zach,647315
519,poppen,sean,664092
520,pressly,ryan,519151
521,price,david,456034
522,pruitt,austin,643493
523,puk,a. j.,640462
524,quackenbush,kevin,534812
525,quantrill,cal,615698
526,quijada,jose,650671
527,quintana,jose,500779
528,rainey,tanner,663432
529,raley,brooks,548384
530,ramirez,erasmo,541640
531,ramirez,noe,598287
532,ramirez,yefry,606162
533,ramirez,yohan,670990
534,ramos,aj,573109
535,rasmussen,drew,656876
536,ray,robbie,592662
537,rea,colin,607067
538,reed,jake,596082
539,reyes,alex,621052
540,richards,garrett,572070
541,richards,trevor,670950
542,ridings,stephen,670050
543,rios,yacksel,605441
544,robertson,david,502085
545,robles,hansel,570663
546,rodon,carlos,607074
547,rodriguez,chris,669735
548,rodriguez,eduardo,593958
549,rodriguez,jefry,622446
550,rodriguez,joely,570257
551,rodriguez,manuel,655889
552,rodriguez,richard,593144
553,rogers,josh,642028
554,rogers,taylor,573124
555,rogers,trevor,669432
556,rogers,tyler,643511
557,romano,jordan,605447
558,romano,sal,607219
559,romero,jhon,664584
560,romine,andrew,461865
561,romo,sergio,489265
562,ross,joe,605452
563,rosscup,zac,573127
564,rosso,ramon,665759
565,rucker,michael,621074
566,ruiz,jose,614179
567,ryan,joe,657746
568,ryan,kyle,594986
569,ryu,hyun jin,547943
570,sadler,casey,594987
571,sale,chris,519242
572,sampson,adrian,592716
573,sanchez,aaron,592717
574,sanchez,cristopher,650911
575,sanchez,miguel,667376
576,sandlin,nick,680704
577,sandoval,patrick,663776
578,sanmartin,reiver,665665
579,santana,dennis,642701
580,santana,edgar,650828
581,santana,ervin,429722
582,santiago,hector,502327
583,santillan,tony,663574
584,santos,antonio,665733
585,saucedo,tayler,642048
586,sawamura,hirokazu,617228
587,sborz,josh,622250
588,scherzer,max,453286
589,schmidt,clarke,657376
590,schreiber,john,670167
591,schrock,max,621011
592,scott,tanner,656945
593,seabold,connor,657756
594,selman,sam,572125
595,senzatela,antonio,622608
596,severino,luis,622663
597,sewald,paul,623149
598,shaw,bryan,543766
599,sheffield,jordan,642068
600,sheffield,justus,656954
601,sherfy,james,642073
602,sherriff,ryan,595411
603,shreve,chasen,592741
604,sims,lucas,608371
605,singer,brady,663903
606,sittinger,brandyn,670087
607,skubal,tarik,669373
608,slater,austin,596103
609,slegers,aaron,642083
610,smith,burch,572143
611,smith,caleb,592761
612,smith,drew,622098
613,smith,joe,501925
614,smith,riley,642092
615,smith,will,519293
616,smyly,drew,592767
617,snead,kirby,669912
618,snell,blake,605483
619,snyder,nick,676766
620,solomon,peter,656981
621,soria,joakim,465657
622,soto,gregory,642397
623,speier,gabe,642100
624,spitzbarth,shea,665661
625,springs,jeffrey,605488
626,stammen,craig,489334
627,stanek,ryne,592773
628,staumont,josh,622251
629,steckenrider,drew,608716
630,steele,justin,657006
631,stephan,trevor,663986
632,stephenson,robert,596112
633,stock,robert,476594
634,strahm,matt,621381
635,stratton,chris,608717
636,strickland,hunter,519326
637,strider,spencer,675911
638,stripling,ross,548389
639,stroman,marcus,573186
640,suarez,jose,660761
641,suarez,ranger,624133
642,suero,wander,593833
643,sulser,cole,642121
644,suter,brent,608718
645,swanson,erik,657024
646,syndergaard,noah,592789
647,taillon,jameson,592791
648,tapia,domingo,593619
649,tate,dillon,622253
650,tauchman,mike,643565
651,taylor,blake,642130
652,taylor,josh,657031
653,tepera,ryan,572193
654,thielbar,caleb,573204
655,thompson,keegan,624522
656,thompson,mason,666168
657,thompson,zach,605507
658,thornton,trent,663423
659,thorpe,lewis,626929
660,tinoco,jesus,622786
661,tomlin,josh,458708
662,topa,justin,623437
663,torreyes,ronald,591720
664,toussaint,touki,657053
665,treinen,blake,595014
666,trivino,lou,642152
667,turner,justin,457759
668,tyler,kyle,667725
669,uceta,edwin,670955
670,underwood,duane,621249
671,urena,jose,570632
672,urias,julio,628711
673,urquidy,jose,664353
674,valdez,cesar,491624
675,valdez,framber,664285
676,valdez,phillips,570488
677,vasquez,andrew,607755
678,velasquez,vince,592826
679,vesia,alex,681911
680,vincent,nick,543883
681,voth,austin,608723
682,wacha,michael,608379
683,wade,konner,592831
684,wainwright,adam,425794
685,walker,taijuan,592836
686,wantz,andrew,681806
687,warren,art,605521
688,warren,austin,681810
689,watkins,spenser,657093
690,watson,tony,453265
691,weathers,ryan,677960
692,weaver,luke,596133
693,webb,jacob,657097
694,webb,logan,657277
695,weber,ryan,543901
696,wells,alexander,649144
697,wells,tyler,669330
698,wendelken,j. b.,605525
699,wheeler,zack,554430
700,white,mitch,669952
701,whitley,kodi,676831
702,whitlock,garrett,676477
703,wick,rowan,592858
704,widener,taylor,642203
705,williams,devin,642207
706,williams,taylor,592865
707,williams,trevor,592866
708,wilson,bryse,669060
709,wilson,justin,458677
710,winkler,dan,595465
711,wisler,matt,605538
712,wittgren,nick,621295
713,wojciechowski,asher,592879
714,wood,alex,622072
715,woodford,jake,663765
716,woodruff,brandon,605540
717,workman,brandon,519443
718,wright,mike,605541
719,wynns,austin,642851
720,yajure,miguel,664337
721,yang,hyeon-jong,660365
722,yarbrough,ryan,642232
723,ynoa,huascar,660623
724,young,alex,622065
725,zerpa,angel,672582
726,zimmer,kyle,622092
727,zimmermann,bruce,669145
728,zuber,tyler,676604
