game_date,CH,CS,CU,EP,FA,FC,FF,FS,KC,KN,SC,SI,SL
2021-05-08,1803.2105263157894,2395.0,2511.0833333333335,,1540.6666666666667,2462.9435736677115,2334.6844574780057,1494.6703296703297,2538.9666666666667,,,2206.4561891515996,2499.9742729306486
2021-05-09,1788.8396226415093,,2506.3278008298757,,1864.0,2501.356828193833,2313.469417833456,1103.3333333333333,2651.361904761905,,,2109.2358803986713,2440.5401974612128
2021-05-10,1808.8577981651376,,2475.455882352941,,,2350.1954022988507,2311.149805447471,1632.2222222222222,2372.0833333333335,,,2126.9583333333335,2410.4026845637586
2021-05-11,1805.4493927125507,,2526.7556390977443,,,2444.3125,2325.677728142948,1481.010989010989,2501.8141592920356,,,2172.237951807229,2478.316258351893
2021-05-12,1765.1365384615385,2422.0,2625.6435406698565,,,2352.317857142857,2330.087611225188,1478.4814814814815,2739.065934065934,,,2161.811802232855,2511.65625
2021-05-13,1784.578488372093,2607.8,2714.0440251572327,,,2637.794701986755,2335.30631276901,1187.5,2454.9861111111113,,,2205.0918803418804,2420.25068119891
2021-05-14,1772.5507518796992,,2529.7398373983738,,1625.4285714285713,2428.262658227848,2322.2782909930716,1529.3783783783783,2562.2105263157896,,,2198.163606010017,2494.660335195531
2021-05-15,1780.8190630048466,,2534.85,,2060.2,2478.117816091954,2341.230999401556,1386.448275862069,2495.36,,,2143.7114803625377,2479.703045685279
2021-05-16,1825.1524822695035,2337.0,2445.954703832753,,,2359.21768707483,2318.2767253044653,1582.5,2570.3289473684213,,,2129.9276315789475,2481.231695085256
2021-05-17,1730.7786561264822,2245.0,2635.366666666667,1106.3333333333333,1794.0,2517.7837837837837,2328.3,1406.55,2847.2181818181816,,,2196.8107344632767,2556.594501718213
2021-05-18,1804.7297297297298,,2571.8209718670078,,,2411.537906137184,2344.8849089841456,1263.357142857143,2551.981818181818,,,2189.4003294892914,2476.6625615763546
2021-05-19,1709.3177777777778,2064.0,2691.3118279569894,,1916.5,2479.61801242236,2339.494299128102,1513.0729166666667,2483.434210526316,,,2162.675925925926,2442.8632676709153
2021-05-20,1788.9530864197532,2633.285714285714,2508.390681003584,,1825.5172413793102,2396.890243902439,2325.2200509770605,1477.9180327868853,2603.4,,,2165.543103448276,2448.8515901060073
2021-05-21,1778.173144876325,,2505.057142857143,,2090.3076923076924,2451.0846153846155,2321.710417892878,1534.081081081081,2565.3366336633662,,,2131.8151364764267,2422.765269461078
2021-05-22,1778.5251641137856,,2602.981818181818,,,2456.235294117647,2321.385807990459,1333.59375,2555.3153846153846,,,2158.3903345724907,2521.3393810032017
2021-05-23,1753.699836867863,,2586.7027777777776,,,2371.628472222222,2299.042487684729,1090.0,2409.2,,,2157.5485893416926,2468.5359317904995
2021-05-24,1800.403125,,2460.9655172413795,,,2415.4080459770116,2308.5416149068324,1464.7428571428572,2437.7272727272725,,,2169.196875,2411.953488372093
2021-05-25,1807.6975717439293,2630.714285714286,2662.629107981221,,,2536.253205128205,2381.8685233160622,1632.573033707865,2403.271739130435,,,2193.777594728171,2454.4285714285716
2021-05-26,1747.3075060532688,,2491.016339869281,,,2457.3,2298.5910290237466,1151.5714285714287,2584.4883720930234,,,2186.9276315789475,2461.0299145299145
2021-05-27,1858.524770642202,,2531.8983516483518,,,2407.885802469136,2287.0268863833476,1527.5,2495.5454545454545,,,2162.6857142857143,2455.0370942812983
2021-05-28,1684.6344410876134,,2583.9223300970875,,,2411.848623853211,2298.3371428571427,1288.9166666666667,2748.337837837838,,,2135.1207627118642,2504.208121827411
2021-05-29,1772.3614232209738,2378.0,2540.2460850111856,,,2404.085910652921,2310.75884057971,1631.4083333333333,2538.554054054054,,,2133.0478873239435,2457.804195804196
2021-05-30,1709.119587628866,,2518.6881028938906,,,2389.830917874396,2332.162672476398,1524.6236559139784,2517.9795918367345,,,2176.1728395061727,2471.359756097561
2021-05-31,1786.6772151898733,2628.0,2542.015503875969,,,2421.025974025974,2312.315224681422,1152.2,2516.654205607477,,,2186.3888888888887,2491.8255639097742
2021-06-01,1839.3119834710744,2549.0,2566.6573816155988,,1873.3703703703704,2419.1452991452993,2328.14489928525,1416.8947368421052,2442.233870967742,,,2203.6525529265255,2483.440594059406
2021-06-02,1777.1289308176101,2190.0,2563.714285714286,,,2394.528888888889,2309.0637362637362,1093.5,2821.2972972972975,,,2160.0367775831874,2476.518115942029
