,level_0,index,game_date,release_spin_rate,release_spin_rate,release_spin_rate,release_spin_rate,release_spin_rate,release_spin_rate,release_spin_rate
,,,,FA,CH,FT,CU,SI,FS,FC
137,137,137,2015-08-24,,1745.5598086124403,2179.9501661129566,2430.7438016528927,2142.43216080402,1511.607142857143,2171.5795454545455
138,138,138,2015-08-25,,1724.992565055762,2132.053435114504,2281.407894736842,2145.8995433789955,1624.14,2190.7905759162304
139,139,139,2015-08-26,,1795.518779342723,2204.7093206951026,2330.2083333333335,2102.3617886178863,1531.9607843137255,2216.4050632911394
140,140,140,2015-08-27,,1735.1473087818697,2092.1362683438156,2295.6338582677167,2102.364779874214,1362.7142857142858,2199.391666666667
141,141,141,2015-08-28,,1723.592750533049,2107.4966139954854,2189.6960486322187,2162.989924433249,1574.7424242424242,2213.9185185185183
142,142,142,2015-08-29,,1785.1344537815125,2127.075975359343,2234.044378698225,2032.319034852547,1642.1684210526316,2256.1810699588477
143,143,143,2015-08-30,,1710.8433179723502,2065.0322061191628,2300.2551319648096,2143.099750623441,1444.8189655172414,2144.864
144,144,144,2015-08-31,,1722.9831325301204,2165.1739864864867,2413.816326530612,2145.4074074074074,1617.8055555555557,2193.819512195122
145,145,145,2015-09-01,,1814.5065217391304,2178.2758007117436,2295.0397350993376,2091.436559139785,1299.9583333333333,2171.8053097345132
146,146,146,2015-09-02,,1664.6756238003838,2157.0465838509317,2328.239864864865,2131.7667844522966,1480.4328358208954,2290.1472868217056
147,147,147,2015-09-04,,1770.439140811456,2115.3034055727553,2327.3287197231834,2079.8383084577113,1239.3643410852712,2285.7561837455833
148,148,148,2015-09-05,,1739.201160541586,2131.437125748503,2319.922279792746,2165.005698005698,1540.5212765957447,2248.0858585858587
149,149,149,2015-09-06,,1840.7578475336322,2113.4348894348896,2282.4521276595747,2113.193181818182,1466.8285714285714,2093.1242236024846
150,150,150,2015-09-07,,1722.2545045045044,2182.544701986755,2330.7866242038217,1998.3195592286502,1504.3478260869565,2227.438775510204
151,151,151,2015-09-08,,1694.5144766146993,2172.114893617021,2277.467105263158,2167.8630136986303,1596.4264705882354,2106.961832061069
152,152,152,2015-09-09,,1726.6697892271663,2117.2214452214453,2390.1374269005846,2053.0,1322.725,2297.966037735849
153,153,153,2015-09-10,,1661.8858695652175,2075.9521531100477,2190.214285714286,2065.1062992125985,1271.3555555555556,1993.0483870967741
154,154,154,2015-09-11,,1848.3341404358353,2127.2763419483103,2358.2119205298013,2152.240409207161,1594.2183908045977,2330.7837837837837
155,155,155,2015-09-12,,1703.9659735349717,2195.913924050633,2303.9202279202277,2057.0474576271185,1433.375,2209.5273631840796
156,156,156,2015-09-13,,1778.7120535714287,2112.3821138211383,2292.7658402203856,2130.761160714286,1609.432098765432,2251.966911764706
157,157,157,2015-09-14,,1705.0358851674641,2190.625874125874,2262.0131578947367,2115.1077283372365,1485.7105263157894,2297.5939086294416
158,158,158,2015-09-15,,1765.2810457516339,2113.873873873874,2318.9010152284263,2069.169082125604,1454.734693877551,2265.2834008097166
159,159,159,2015-09-16,,1740.978021978022,2108.9216965742253,2296.0530303030305,2149.4871794871797,1375.8229166666667,2173.508108108108
160,160,160,2015-09-17,,1659.7477477477478,2094.9547511312217,2301.0358974358974,2095.850174216028,2009.2727272727273,2040.8321167883212
161,161,161,2015-09-18,,1731.3995680345572,2169.7596153846152,2268.185303514377,2051.3739316239316,1441.953125,2268.6745562130177
162,162,162,2015-09-19,,1723.4407665505225,2153.248936170213,2219.866492146597,2124.5309168443496,1079.142857142857,2263.409756097561
163,163,163,2015-09-20,,1768.8296460176991,2129.391684901532,2394.4505263157894,2101.2543640897757,1617.4736842105262,2202.289256198347
164,164,164,2015-09-21,,1683.3056478405315,2054.7741935483873,2303.8010204081634,2127.621301775148,1442.888888888889,2168.305389221557
165,165,165,2015-09-22,,1752.0703296703298,2102.751578947368,2287.0102040816328,2162.219839142091,1672.9787234042553,2253.228346456693
166,166,166,2015-09-23,,1763.0521739130436,2145.1315372424724,2370.4172335600906,2066.721875,1575.8292682926829,2277.818791946309
167,167,167,2015-09-24,,1780.9146005509642,2209.319892473118,2386.19262295082,2117.9373040752353,1613.2727272727273,2231.5244755244757
168,168,168,2015-09-25,,1665.2520775623268,2156.3142857142857,2436.4275092936805,2107.9082969432316,1471.25,2186.7042253521126
169,169,169,2015-09-26,,1776.4283088235295,2139.8261964735516,2352.3866666666668,2181.5968992248063,1608.4516129032259,2222.100418410042
170,170,170,2015-09-27,,1697.1508620689656,2121.7723880597014,2336.908396946565,2110.701265822785,1493.7121212121212,2152.4666666666667
171,171,171,2015-09-28,,1776.952802359882,2187.641434262948,2438.8617021276596,2155.0,1770.764705882353,2308.6782608695653
172,172,172,2015-09-29,,1745.2084592145015,2170.3078758949882,2361.533101045296,2092.6111111111113,1519.4,2182.623287671233
173,173,173,2015-09-30,,1666.7875457875457,2104.060120240481,2243.5902335456476,2082.9555555555557,1488.701754385965,2235.4922480620153
174,174,174,2015-10-01,,1726.0569105691056,2110.5488215488217,2290.1125,2086.3407960199006,1577.8301886792453,2249.6785714285716
175,175,175,2015-10-02,,1781.3709677419354,2088.344671201814,2238.5949367088606,2086.9649681528663,1617.5121951219512,2118.3975155279504
176,176,176,2015-10-03,,1720.6350364963503,2143.8611111111113,2332.0150214592277,2072.174778761062,1527.377049180328,2153.6666666666665
177,177,177,2015-10-04,,1721.5574468085106,2110.1229166666667,2285.815286624204,2091.061433447099,1635.09375,2126.2954545454545
178,178,178,2015-10-06,,1696.6,2012.6530612244899,1812.5714285714287,1839.9285714285713,1687.6818181818182,2059.6111111111113
179,179,179,2015-10-07,,1863.1666666666667,,2672.5454545454545,2212.8596491228072,,2304.8333333333335
180,180,180,2015-10-08,,1817.6153846153845,2150.1923076923076,2410.731707317073,2255.9444444444443,,2245.8030303030305
181,181,181,2015-10-09,,1643.8602150537633,2184.730612244898,2237.150442477876,2165.7757009345796,1625.0,2200.3478260869565
182,182,182,2015-10-10,,1899.8865979381444,2141.15,2318.5185185185187,2090.1782178217823,1644.3333333333333,2293.967741935484
183,183,183,2015-10-11,,1589.7472527472528,2096.518181818182,2239.0526315789475,2381.0,,2335.75
184,184,184,2015-10-12,,1756.2347826086957,2069.090909090909,2480.164705882353,2206.276785714286,1732.75,2337.967741935484
185,185,185,2015-10-13,,1992.75,2108.0153846153844,2248.84,2068.987012987013,1721.0,2351.3
186,186,186,2015-10-14,,1613.482142857143,2219.119318181818,2458.2916666666665,2063.75,,2246.9142857142856
187,187,187,2015-10-15,,1802.7142857142858,2042.780487804878,2511.6315789473683,2219.0,,2594.5384615384614
188,188,188,2015-10-16,,1603.9818181818182,2175.0,2440.315789473684,2367.646153846154,,2288.0
189,189,189,2015-10-17,,1902.5,2205.9220779220777,2286.0188679245284,2088.185185185185,,2204.3469387755104
190,190,190,2015-10-18,,1839.2121212121212,2060.2608695652175,2227.878787878788,2153.3098591549297,1888.0,2179.714285714286
191,191,191,2015-10-19,,1757.7428571428572,2227.686440677966,2690.0625,,,2327.875
192,192,192,2015-10-20,,1858.2295081967213,2177.784810126582,2215.342105263158,2048.222222222222,2139.0,2258.2580645161293
193,193,193,2015-10-21,,1918.6162790697674,2185.9620253164558,2318.530612244898,2228.5419847328244,1546.4444444444443,2399.1875
194,194,194,2015-10-23,,1930.967741935484,2231.259259259259,2455.2,,,2153.9347826086955
195,195,195,2015-10-27,,1676.4923076923078,2074.875,1986.5714285714287,2337.904761904762,1070.0,2284.3
196,196,196,2015-10-28,,1577.2307692307693,2183.672727272727,2152.2380952380954,,,1990.3703703703704
197,197,197,2015-10-30,,1776.054054054054,2105.282608695652,2202.439024390244,2107.6666666666665,1970.0,2271.45
198,198,198,2015-10-31,,2145.705882352941,2108.8571428571427,2361.470588235294,2082.75,1988.0,2348.3333333333335
