,name_last,name_first,key_mlbam,spin_low_conf,spin_high_conf,spin_difference_conf,%k conf_low,%k conf_high,%k difference_conf,%K mean,spin rate mean
122,bazardo,eduard,660825,1997.6565,2015.7719,18.11525,0.0135621205,0.015748143,0.0021860218,0.014655132,2006.7141
123,beachy,brandon,545404,2538.5508,2559.851,21.30043,0.01305059,0.014509279,0.0014586896,0.0137799345,2549.201
124,beasley,jeremy,676886,1830.5266,1868.6564,38.12973,0.077299714,0.109228924,0.031929217,0.09326432,1849.5916
125,beato,pedro,474039,2100.3477,2141.8728,41.525272,0.01365132,0.015401763,0.0017504424,0.014526541,2121.1104
126,beck,chris,571476,2250.4124,2279.0227,28.610132,0.04259772,0.061339457,0.018741734,0.05196859,2264.7175
127,bednar,david,670280,2553.8228,2605.0583,51.23567,0.013056251,0.0147923045,0.0017360529,0.013924278,2579.4404
128,bedrosian,cam,592135,2177.5786,2200.1406,22.56205,0.013699262,0.015755493,0.0020562317,0.014727378,2188.8596
129,beede,tyler,595881,2103.7786,2150.8936,47.115055,0.012671881,0.014403215,0.0017313332,0.013537548,2127.3362
130,beeks,jalen,656222,2061.014,2088.256,27.24211,0.04637629,0.06563164,0.019255355,0.05600397,2074.635
131,beeler,dallas,542923,2353.033,2390.3215,37.288578,0.064754486,0.090155326,0.025400838,0.0774549,2371.6772
132,beimel,joe,346847,2007.8771,2016.3729,8.495849,0.0056508263,0.0063190386,0.0006682126,0.005984932,2012.125
133,belisario,ronald,430613,1863.1406,1872.3594,9.218661,0.007832305,0.008661202,0.00082889723,0.008246753,1867.75
134,belisle,matt,279571,2080.2874,2118.1516,37.864437,0.013175136,0.014879602,0.001704466,0.014027369,2099.2195
135,beliveau,jeff,542924,2108.3718,2120.537,12.1652775,0.008622283,0.0098532,0.0012309173,0.009237741,2114.4546
136,bell,chad,518445,1906.8842,1930.9312,24.046997,0.011171381,0.012683703,0.0015123213,0.011927541,1918.9077
137,bellatti,andrew,571479,2052.5142,2089.3132,36.79901,0.012745395,0.0144881215,0.0017427268,0.013616758,2070.9136
138,bemboom,anthony,621532,2101.721,2164.242,62.52098,0.015207779,0.01697039,0.0017626119,0.016089085,2132.9814
139,bender,anthony,669622,1756.9734,1813.7654,56.792023,0.012832787,0.014603839,0.0017710525,0.013718314,1785.3694
140,benjamin,wes,605138,2291.2332,2338.1184,46.885197,0.012593584,0.014368763,0.0017751785,0.013481174,2314.6758
141,benoit,joaquin,276542,2362.031,2387.5422,25.51123,0.013045107,0.014666444,0.0016213373,0.013855776,2374.7866
142,bergen,travis,664157,2581.0354,2612.552,31.516685,0.07948731,0.106744334,0.027257027,0.09311582,2596.7937
143,bergman,christian,548357,2208.4768,2227.3572,18.880331,0.014173206,0.01578218,0.001608973,0.014977692,2217.917
144,berrios,jose,621244,2196.9294,2234.5776,37.648254,0.06680031,0.09351175,0.02671144,0.08015603,2215.7534
145,betances,dellin,476454,2110.9248,2132.9917,22.066965,0.0070371344,0.008260941,0.0012238064,0.0076490375,2121.9583
146,betancourt,rafael,429783,1835.2911,1896.0137,60.7226,0.013953162,0.015706046,0.0017528832,0.014829604,1865.6525
147,bethancourt,christian,542194,2312.4958,2337.7153,25.219463,0.013909605,0.015690645,0.0017810395,0.014800125,2325.1057
148,bettinger,alec,676424,2069.7664,2101.2812,31.51489,0.014286125,0.015827253,0.001541129,0.015056689,2085.524
149,bettis,chad,518452,2305.7605,2342.992,37.23163,0.05918646,0.0823748,0.023188345,0.070780635,2324.3762
150,biagini,joe,607352,2045.5985,2104.3252,58.72659,0.04728113,0.066954,0.019672874,0.057117566,2074.962
151,bibens-dirkx,austin,502212,2003.57,2043.0673,39.497356,0.012664473,0.014268498,0.0016040251,0.013466485,2023.3186
152,bickford,phil,641360,1914.4219,1953.0499,38.628063,0.010767768,0.012165528,0.0013977602,0.011466648,1933.736
153,biddle,jesse,592145,2228.4568,2247.6873,19.23026,0.014853294,0.016640857,0.0017875619,0.015747076,2238.072
154,bieber,shane,669456,2210.0332,2258.8801,48.846848,0.012987268,0.014905849,0.0019185803,0.013946558,2234.4565
155,bielak,brandon,656232,2141.1426,2167.3582,26.215532,0.06900319,0.09526183,0.02625864,0.0821325,2154.2502
156,billingsley,chad,451532,2100.1375,2170.0325,69.89502,0.062294718,0.08491033,0.022615617,0.07360253,2135.085
