game_date,CH,CS,CU,EP,FA,FC,FF,FO,FS,FT,KC,KN,SI,SL
2019-04-30,1830.6229885057471,2341.5,2485.757575757576,,,2316.783185840708,2294.142631993696,,1507.5409836065573,2181.6519337016575,2554.4056603773583,,2130.2115384615386,2447.37925445705
2019-05-01,1754.5609318996417,,2543.9339853300735,,,2388.5348837209303,2295.707659115426,,1496.054054054054,2151.0650887573966,2414.6463414634145,,2113.218954248366,2441.669318181818
2019-05-02,1722.946188340807,2225.6666666666665,2569.0672782874617,,2369.0434782608695,2319.989247311828,2239.114595898673,,1652.96,2166.8755980861242,2509.9565217391305,,2107.5538461538463,2381.7964071856286
2019-05-03,1873.142561983471,,2585.6666666666665,,,2395.136,2302.9216049382717,,1561.078947368421,2134.3396825396826,2400.0860927152316,,2119.251461988304,2422.937254901961
2019-05-04,1797.5913978494623,,2485.7659574468084,2618.6666666666665,,2263.9479553903348,2281.802779616148,,1324.6222222222223,2233.3380952380953,2555.2903225806454,,2157.2619647355164,2392.4512987012986
2019-05-05,1783.2546296296296,,2468.084084084084,2275.6666666666665,1904.25,2385.881422924901,2252.3405551794176,,1769.4117647058824,2212.744394618834,2616.396226415094,,2067.5371179039303,2377.154255319149
2019-05-06,1865.21325648415,2316.0,2503.4748427672957,,1747.2,2391.1111111111113,2321.601466992665,,1587.7777777777778,2204.6967213114754,2417.978260869565,,2193.363247863248,2476.7469244288227
2019-05-07,1743.5889830508474,,2530.621301775148,,,2362.310483870968,2263.466627288836,,1400.235294117647,2176.107558139535,2593.32,,2141.722222222222,2407.439937597504
2019-05-08,1820.4197247706422,2365.0,2581.324538258575,,,2466.9607843137255,2302.740521327014,,1372.516129032258,2191.7151335311573,2378.273381294964,,2030.3417366946778,2415.1557971014495
2019-05-09,1841.0859375,,2587.1254612546127,3052.0,,2362.492700729927,2322.1630546955626,,1658.6666666666667,2166.00325732899,2572.5849056603774,,2120.6650485436894,2456.2913385826773
2019-05-10,1786.796,,2615.1721698113206,,,2366.093247588424,2300.9746258945997,,1490.6470588235295,2234.2219101123596,2749.0175438596493,,2121.807197943445,2458.6456953642382
2019-05-11,1778.3375262054508,2166.6,2444.648199445983,,,2389.926056338028,2285.8092896174862,,1391.9651162790697,2203.773195876289,2516.3870967741937,,2196.01210653753,2396.562019758507
2019-05-12,1782.5360824742268,,2578.6604651162793,,,2358.2179930795846,2272.171296296296,,1519.3636363636363,2145.6,2280.029411764706,,2101.0,2398.505295007564
2019-05-13,1773.1989528795812,,2513.0140186915887,,,2391.818181818182,2275.826265389877,,1426.5555555555557,2181.1052631578946,2377.2475247524753,,2121.3205128205127,2400.6332288401254
2019-05-14,1793.6132478632478,2134.0,2497.941340782123,,,2379.048951048951,2279.7055172413793,,1255.0,2147.1411042944787,2480.653846153846,,1990.012012012012,2473.3715651135008
2019-05-15,1834.367303609342,2263.0,2550.7927272727275,2157.0,,2405.7848605577688,2315.5342362678707,,1650.2459016393443,2182.192105263158,2611.5508474576272,,2183.6472727272726,2486.042735042735
2019-05-16,1722.78025477707,,2469.8715083798884,,,2372.718614718615,2222.3910849453323,,1380.1176470588234,2237.385714285714,2284.269230769231,,2099.7824267782426,2398.954853273138
2019-05-17,1802.268115942029,,2541.6317204301076,1833.0,1620.5882352941176,2308.1433566433566,2301.8530201342282,,1376.6666666666667,2209.7213541666665,2729.3636363636365,,2119.7843137254904,2433.6398046398044
2019-05-18,1860.8416030534352,2167.6666666666665,2515.525059665871,,,2428.8188153310102,2268.059295861643,,1551.7524752475247,2093.6725663716816,2483.0272727272727,1974.5,2136.533512064343,2388.0839416058393
2019-05-19,1767.881118881119,,2576.155844155844,,,2353.7224199288257,2262.178520625889,,1518.8823529411766,2148.843853820598,2389.2982456140353,,2133.3351206434318,2423.6379542395694
2019-05-20,1766.131498470948,2368.6666666666665,2461.026455026455,,,2355.544041450777,2302.9326171875,,1498.2666666666667,2168.991769547325,2458.716417910448,,2080.8879668049794,2459.0752688172042
2019-05-21,1804.4683544303798,,2527.2697547683924,1981.0,,2372.7192307692308,2322.3087016574586,,1230.7,2270.8507853403144,2673.5913978494623,,2093.1523178807947,2483.2846153846153
2019-05-22,1807.0581896551723,,2624.85,2453.0,,2312.6542372881354,2287.6932245922208,,1331.141304347826,2233.745247148289,2542.28,,2140.2215568862275,2395.843989769821
2019-05-23,1917.2426470588234,,2525.251677852349,,,2395.6742081447965,2286.9144568006845,,1627.1630434782608,2179.470588235294,2524.271186440678,,2117.312757201646,2413.074592074592
2019-05-24,1867.7099767981438,,2457.0408602150537,,,2398.8168498168498,2301.1676866585067,,1492.75,2157.5764192139736,2283.0,,2215.722100656455,2417.2932628797885
2019-05-25,1771.3407534246576,,2593.7576470588237,,,2426.0521739130436,2284.4775280898875,,1611.0,2182.387755102041,2496.3684210526317,,2123.3273809523807,2494.616921269095
2019-05-26,1770.1203501094092,,2541.532258064516,,,2357.1071428571427,2278.369434416366,,1416.3382352941176,2161.027713625866,2528.1441441441443,,2084.928381962865,2445.718604651163
2019-05-27,1764.3636363636363,,2503.2982456140353,,,2292.3899371069183,2320.358350951374,,1244.7027027027027,2175.232026143791,2662.887323943662,,2140.6190476190477,2433.1244343891403
2019-05-28,1884.3975659229209,2180.0,2651.0845986984814,2498.0,,2333.2526315789473,2299.3613184079604,,1515.876712328767,2249.2111801242236,2610.413043478261,,2163.368271954674,2427.512056737589
