,launch_angle,launch_speed,estimated_ba_using_speedangle,events
331,-12,92.9,0.167,field_out
406,-13,82.9,0.067,field_out
29,8,100.9,0.613,field_out
39,-11,80.8,0.1,field_out
461,-14,95.3,0.187,field_out
45,-11,98.7,0.267,force_out
61,15,101.0,0.64,single
98,39,96.5,0.107,field_out
106,6,99.8,0.62,single
287,-14,91.0,0.187,field_out
363,25,90.6,0.167,field_out
150,-1,74.8,0.127,field_out
166,26,104.2,0.913,home_run
382,-6,75.9,0.08,grounded_into_double_play
401,5,83.3,0.347,single
419,14,95.5,0.887,single
477,-19,88.5,0.107,field_out
185,29,85.2,0.02,field_out
583,4,104.8,0.593,field_out
243,6,104.5,0.607,single
288,13,97.2,0.9,single
333,2,89.2,0.393,fielders_choice
232,0,57.2,0.113,field_out
248,7,98.6,0.627,field_out
215,52,80.9,0.04,field_out
241,20,103.2,0.633,double
250,39,95.9,0.107,triple
284,5,101.5,0.587,field_out
310,-9,103.4,0.273,field_out
400,23,88.9,0.173,single
444,32,78.6,0.053,field_out
311,-4,81.9,0.167,field_out
438,29,85.5,0.02,field_out
484,17,101.3,0.433,double
512,0,95.1,0.367,double
291,3,92.6,0.44,double
379,2,100.2,0.54,field_error
405,12,93.4,0.873,single
452,5,86.0,0.34,single
427,34,70.2,0.693,field_out
480,-18,82.6,0.073,field_out
537,66,85.0,0.007,field_out
627,69,80.0,0.0,field_out
237,-2,84.7,0.2,single
253,25,86.8,0.127,field_out
298,25,105.0,0.98,home_run
319,18,101.9,0.54,double
443,16,99.8,0.54,field_out
500,26,100.3,0.74,field_out
504,11,107.3,0.927,single
465,50,81.7,0.02,field_out
487,46,78.1,0.067,field_out
541,26,110.0,1.0,home_run
548,29,97.2,0.347,home_run
509,41,78.9,0.033,field_out
594,62,83.2,0.007,field_out
6,16,95.1,0.707,field_out
54,0,103.5,0.42,single
48,8,74.7,0.24,grounded_into_double_play
59,16,103.0,0.573,single
71,3,91.7,0.42,double
62,53,82.3,0.013,field_out
70,-11,94.5,0.26,field_out
88,0,108.6,0.56,field_out
80,29,88.3,0.087,field_out
126,6,89.7,0.553,single
139,37,96.9,0.173,field_out
178,27,100.9,0.793,field_out
182,55,77.5,0.073,field_error
192,31,90.8,0.087,field_out
172,-34,82.0,0.053,field_out
193,-5,97.0,0.253,field_error
206,-7,98.2,0.28,field_out
199,-20,85.0,0.093,field_out
219,-17,69.8,0.093,force_out
262,-12,77.5,0.08,field_out
225,40,105.2,0.493,field_out
231,10,102.3,0.833,single
255,-31,69.9,0.067,field_out
266,6,93.5,0.52,field_out
285,40,105.5,0.493,home_run
286,-47,63.5,0.147,field_out
338,-6,103.2,0.3,single
402,21,103.9,0.793,field_out
301,-21,82.9,0.073,grounded_into_double_play
352,2,105.2,0.5,single
496,36,100.8,0.393,home_run
592,27,101.5,0.9,double
440,25,98.4,0.413,field_out
520,-3,99.2,0.36,field_out
205,0,106.4,0.44,field_out
105,11,100.3,0.9,single
204,28,96.2,0.327,field_out
140,6,116.2,0.733,single
175,-5,98.4,0.253,single
186,27,98.9,0.553,field_out
238,37,100.5,0.253,field_out
102,26,105.1,0.987,home_run
153,-8,60.6,0.033,field_out
231,24,91.9,0.173,field_out
263,52,87.7,0.013,field_out
275,25,93.5,0.193,field_out
172,23,89.3,0.173,field_out
259,49,91.7,0.02,field_out
211,-35,77.5,0.033,field_out
52,12,95.2,0.913,single
73,33,67.2,0.867,single
124,8,84.3,0.407,double_play
144,15,98.9,0.753,single
165,9,100.2,0.66,single
194,-4,67.0,0.1,grounded_into_double_play
215,37,75.4,0.133,field_out
232,38,73.8,0.193,field_out
274,-19,101.0,0.207,single
6,26,80.3,0.193,field_out
12,34,108.3,0.893,home_run
265,-21,82.9,0.073,field_out
98,18,113.7,0.907,double
133,51,94.0,0.007,field_out
157,16,87.8,0.907,single
15,-8,99.8,0.253,field_out
20,-18,87.7,0.1,field_out
24,23,98.2,0.493,double
183,-23,41.6,0.26,field_out
209,-21,82.9,0.073,field_out
214,27,78.6,0.24,field_out
37,-23,100.7,0.247,single
53,31,96.1,0.327,field_out
65,26,86.0,0.12,field_out
258,8,90.7,0.533,field_out
74,69,80.0,0.0,field_out
88,69,80.0,0.0,field_out
82,12,101.4,0.9,double
95,-9,100.3,0.273,single
123,53,79.9,0.033,field_out
138,4,111.4,0.653,single
201,17,107.8,0.7,home_run
251,-2,81.0,0.173,single
1007,49,101.9,0.007,sac_fly
1035,-43,44.0,0.227,force_out
1165,21,91.6,0.267,double
840,37,84.3,0.033,field_out
