,name_last,name_first,key_mlbam,spin_low_conf,spin_high_conf,spin_difference_conf,%k conf_low,%k conf_high,%k difference_conf,%K mean,spin rate mean
98,cabrera,edward,665795,2495.0427,2539.8687,44.825798,0.020562291,0.024940424,0.004378132,0.022751357,2517.4558
99,cabrera,genesis,650893,2217.6118,2264.5786,46.966675,0.010593501,0.013288455,0.0026949544,0.0119409785,2241.0952
100,camarena,dan,547176,1740.5524,1796.8715,56.319096,0.00971954,0.011857853,0.0021383127,0.010788697,1768.7119
101,campbell,paul,669294,2315.8066,2339.7578,23.951132,0.012947815,0.015147422,0.002199608,0.014047618,2327.7822
102,carlton,drew,656290,2409.6926,2491.935,82.242355,0.013924877,0.01671686,0.0027919826,0.015320869,2450.814
103,carrasco,carlos,471911,1977.5575,2025.7278,48.170277,0.032381795,0.052512955,0.020131161,0.042447373,2001.6427
104,castano,daniel,641447,1973.5231,2037.7816,64.25845,0.07324839,0.11576485,0.042516463,0.09450662,2005.6523
105,castellanos,humberto,528748,2081.6702,2096.0298,14.359767,0.01629903,0.018603148,0.0023041188,0.017451089,2088.85
106,castillo,diego,650895,2184.899,2221.608,36.708965,0.014725742,0.017881474,0.0031557328,0.016303608,2203.2534
107,castillo,luis,622491,2322.5925,2355.2314,32.63901,0.012690231,0.015442856,0.0027526245,0.014066543,2338.9119
108,castro,anthony,621593,2141.7163,2186.9832,45.26674,0.07130034,0.11786514,0.0465648,0.094582744,2164.3496
109,castro,kervin,665645,2240.755,2284.038,43.283165,0.012313481,0.014694798,0.0023813164,0.01350414,2262.3965
110,castro,miguel,612434,2352.6682,2378.7002,26.031872,0.018432159,0.022465874,0.0040337145,0.020449016,2365.6843
111,cease,dylan,656302,2061.9666,2091.0894,29.122725,0.014803316,0.017691197,0.0028878797,0.016247256,2076.5278
112,cessa,luis,570666,1974.4547,1992.3547,17.900011,0.012831449,0.015562515,0.0027310664,0.014196982,1983.4048
113,chacin,jhoulys,468504,2124.6936,2166.5933,41.899536,0.010977819,0.013453471,0.0024756517,0.012215645,2145.6433
114,chafin,andrew,605177,2397.427,2434.2476,36.820522,0.0112635195,0.013338276,0.0020747564,0.012300897,2415.8372
